,Name,Image,Description,Personality Traits
57,58.  Konkona Sen Sharma ,"https://m.media-amazon.com/images/M/MV5BMTU1NjUxNDYwNV5BMl5BanBnXkFtZTgwOTU3MDM0OTE@._V1_UY209_CR3,0,140,209_AL_.jpg","    Konkona Sen Sharma is an awarding winning actress and the daughter of the celebrated actress and director Aparna Sen. Konkona is regarded as one of the most respected actresses in Bollywood with her memorable performances right from Mr. and Mrs. Iyer (2002) to Page 3 (2005), from Omkara (2006) to ...                ","['actress', 'director', 'respected', 'memorable']"
58,59.  Kader Khan ,"https://m.media-amazon.com/images/M/MV5BNWYzY2QzNzUtYmVlYy00MmZjLTgxYjEtNjQyOWI5MzZkMDk4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg","    Kader Khan was born on December 11, 1937 in Pishin, Balochistan, British India. He was an actor and writer, known for Taqdeerwala (1995), Destiny and Fate (1981) and Angaar (1992). He was married to Azra Khan. He died on December 31, 2018 in Mississauga, Ontario, Canada.                ","['actor', 'writer', 'married']"
59,60.  Kay Kay Menon ,"https://m.media-amazon.com/images/M/MV5BMTY4MjgwODk4MF5BMl5BanBnXkFtZTgwNzAxNzE0MjE@._V1_UY209_CR87,0,140,209_AL_.jpg","    Kay Kay Menon was born on October 2, 1966 in Kerala, India as Krishna Kumar Menon. He is an actor, known for Haider (2014), Black Friday (2004) and The Abeer Color (2009). He is married to Nivedita Bhattacharya.                ","['actor', 'married']"
60,61.  Kajol ,"https://m.media-amazon.com/images/M/MV5BMjIwMjQ5MTQ4N15BMl5BanBnXkFtZTgwOTIyMDU0OTE@._V1_UY209_CR4,0,140,209_AL_.jpg","    Kajol was born on August 5, 1974 in Bombay, Maharashtra, India as Kajol Mukherjee. She is an actress, known for Kuch Kuch Hota Hai (1998), My Name Is Khan (2010) and Fanaa (2006). She has been married to Ajay Devgn since February 24, 1999. They have two children.                ","['actress', 'married']"
61,62.  Kulbhushan Kharbanda ,"https://m.media-amazon.com/images/M/MV5BMTQ2ODU1NDM0MF5BMl5BanBnXkFtZTcwNjIzNTE3Mw@@._V1_UY209_CR72,0,140,209_AL_.jpg","    Kulbhushan Kharbanda was born on October 21, 1944 in Hasan Abdal, Punjab, British India. He is an actor, known for Lagaan: Once Upon a Time in India (2001), Haider (2014) and Hera Pheri (2000).                ",['actor']
62,63.  Kalki Koechlin ,"https://m.media-amazon.com/images/M/MV5BNzI4NDQyMjU2MF5BMl5BanBnXkFtZTgwMzc4ODEzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg",    Kalki Koechlin was born to French parents in a small village in Pondicherry. Her parents had come to India as hippies in the 1970s and settled there after they fell in love with the country. Her parents are devotees of Sri Aurobindo.Kalki was studying in Ooty when her parents insisted that she ...                ,[]
63,64.  Kapil Sharma ,"https://m.media-amazon.com/images/M/MV5BMjE5NzI3NjE1Ml5BMl5BanBnXkFtZTgwNTMxMjMzOTE@._V1_UY209_CR87,0,140,209_AL_.jpg","    Kapil Sharma is an Indian stand-up comedian, TV anchor and singer.He was selected among top 100 celebrities in 2013 Forbes India magazines and he was ranked 96th in that list. Currently he hosts The Kapil Sharma Show.[2] He also hosted television comedy shows like Comedy Nights with Kapil, The ...                ","['stand-up comedian', 'TV anchor', 'singer', 'comedy']"
64,65.  Krishna Abhishek ,"https://m.media-amazon.com/images/M/MV5BOWJmNDJkYjEtYmY5ZC00NmY5LTgyNTUtN2FjODQyZGZhNmIzL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR10,0,140,209_AL_.jpg","    Krishna Abhishek is an actor and producer, known for Speak Bachchan (2012), Jahan Jaaeyega Hamen Paaeyega (2007) and Marne Bhi Do Yaaron (2019).                ","['actor', 'producer']"
65,66.  Karuna Bannerjee ,"https://m.media-amazon.com/images/M/MV5BMTg1MzAzMDg0OV5BMl5BanBnXkFtZTgwMjYzMTI1NTE@._V1_UY209_CR74,0,140,209_AL_.jpg","    Karuna Bannerjee was born on December 25, 1919 in Calcutta, Bengal Presidency, British India. She was an actress, known for Aparajito (1956), Pather Panchali (1955) and Mahakavi Kalidas (1942). She died on November 13, 2001 in Kolkata, West Bengal, India.                ",['actress']
66,67.  Kanwaljit Singh ,"https://m.media-amazon.com/images/M/MV5BZGRkNmZiYjItYTk5Yy00ODU1LThkNjAtYWQ4OGZjYTMxMDcwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR4,0,140,209_AL_.jpg","    Kanwaljit Singh is an actor, known for 15 Park Avenue (2005), Bang Bang (2014) and Saans (1999). He is married to Anuradha Patel.                ","['actor', 'married']"
67,68.  Lara Dutta ,"https://m.media-amazon.com/images/M/MV5BNDk2OTk5NjYwNl5BMl5BanBnXkFtZTcwMzMyMDQ4Mg@@._V1_UY209_CR88,0,140,209_AL_.jpg","    It is not a secret that Lara Dutta is a beauty with brains. This was demonstrated when she scored the highest possible marks in the history of the Miss Universe Contest. After this she was crowned Miss Universe 2000, making history as not only the most beautiful but also the most intelligent young ...                ","['beauty with brains', 'beautiful', 'intelligent']"
68,69.  Manjot Singh ,"https://m.media-amazon.com/images/M/MV5BNWY2N2E4Y2EtOGI2NS00YjkxLTgwMDAtNGU4MTZjN2RiZjAwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR1,0,140,209_AL_.jpg",    Manjot Singh is an Indian born actor whose portrayal of young Lucky in Oye Lucky! Lucky Oye! (2008) made him accepted as dynamic sardar actor in Bollywood. Manjot had never acted before getting this first break. Manjot comes from a well educated Sikh family.                ,['actor']
69,70.  Manu Rishi Chadha ,"https://m.media-amazon.com/images/M/MV5BMmY4YzA5Y2UtYmI2Yi00MzNmLWJmZjQtYTY3YWYyYzBjYWQ3XkEyXkFqcGdeQXVyOTAyMDgxODQ@._V1_UY209_CR115,0,140,209_AL_.jpg","    Manu Rishi Chadha, one of the finest artists in our industry was born and raised in Delhi. His only dream was to become an actor and hence to hone his skills, he quit college to pursue theatre.He gave 10 years to theatre and eventually decided to move to Mumbai to give a bigger platform to his ...                ",['actor']
70,71.  Mehmood ,"https://m.media-amazon.com/images/M/MV5BMzI0OWZlOTQtNGJiNS00YzVhLWE1MGQtZGY3ZWUwYWJiOTZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR14,0,140,209_AL_.jpg","    Mehmood was born on September 29, 1932 in Bombay, Bombay Presidency, British India. He is known for his work on Bombay to Goa (1972), Do Phool (1974) and Main Sunder Hoon (1971). He died on July 23, 2004 in Pennsylvania, USA.                ",['known for his work']
71,72.  Mukesh Tiwari ,"https://m.media-amazon.com/images/M/MV5BMjAxNzA0MzkzNl5BMl5BanBnXkFtZTcwNjMyOTM0MQ@@._V1_UY209_CR89,0,140,209_AL_.jpg","    Mukesh Tiwari was born on August 24, 1969 in Sagar, Madhya Pradesh, India. He is an actor, known for Dilwale (2015), Gangaajal (2003) and Yehi Hai Zindagi (2005).                ",['actor']
72,73.  Mammootty ,"https://m.media-amazon.com/images/M/MV5BOTFjOGIwMmUtY2FlMS00ZWJlLThhOWItY2RmY2JmYTc0YTk5XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX140_CR0,0,140,209_AL_.jpg","    Malayalam film actor Mammootty was born to Ismail (an agriculturist) and Fatima (a homemaker). He had two younger brothers Ibrahim and Zakariah; and three sisters, Ameena, Sauda and Shafina. He did his high school (pre-degree) at Maharaja's College, Thevara and then studied law at Ernakulam ...                ",['actor']
73,74.  Makrand Deshpande ,"https://m.media-amazon.com/images/M/MV5BNDcyOGU3ODctZjZiZi00OWY1LWEzYjktOTIxNTUwMTAyODMzXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR0,0,140,209_AL_.jpg","    Makrand Deshpande was born on July 3, 1958 in India. He is an actor and writer, known for Hanan (2004), Danav (2003) and Company (2002).                ","['actor', 'writer']"
74,75.  Madhavan ,"https://m.media-amazon.com/images/M/MV5BZjQ4NWIwYzYtOTYwZC00ZDI4LWFmYWEtZjhmNTE3ODVhYzJkXkEyXkFqcGdeQXVyOTc1MzM5MA@@._V1_UY209_CR8,0,140,209_AL_.jpg","    Madhavan was born on June 1, 1970, in a Tamil-speaking family.At the age of 18 his college entrusted him with the responsibility of representing India as a Cultural Ambassador to Canada.A year later he and three others from his college were sent to Britain as army cadets and received training in ...                ",[]
75,76.  Mohanlal ,"https://m.media-amazon.com/images/M/MV5BYjFjZGRjMWYtZTA5MS00OTZkLWI1MjctNDQ2NmQzMWM1NzRhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR0,0,140,209_AL_.jpg","    Mohanlal was born to Viswanathan Nair (father) and Santhakumari (mother) in Pathanamthitta district of Kerala, in the southern part of India on 21st May 1960. Starting his career with a classic villain role, he has now become an outstanding actor of Malayalam Cinema in Kerala. Without no doubt, ...                ","['outstanding', 'actor']"
76,77.  Mita Vasisht ,"https://m.media-amazon.com/images/M/MV5BNGQ4YjkyMzMtM2E4OS00YmMzLWEyY2YtYjY0ZmUzYmEzNzFiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR13,0,140,209_AL_.jpg","    Mita Vashisht is an Indian television, film and theater actress, who graduated from National School of Drama, New Delhi in 1987.She was born in Pune, Maharashtra, India to Rajeshwar Dutt Vasisht, a retired Colonel in the Indian Army and Meenakshi Mehta Vasisht, a teacher and musician.She had her ...                ",['actress']
77,78.  Manoj Bajpayee ,"https://m.media-amazon.com/images/M/MV5BMzUxODk5MmEtZGQxOC00NzUxLWI5YTEtYWFjMjZmZTIwNTA5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg","    Manoj Bajpayee was born on April 23, 1969 in Belwa, Bihar, India. He is known for his work on Gangs of Wasseypur (2012), Satya (1998) and Reflection (2001). He has been married to Neha since February 23, 2005.                ","['known for his work', 'married']"
78,79.  Manoj Joshi ,"https://m.media-amazon.com/images/M/MV5BMDdmMDUzMGUtNjBiYy00ZDdiLTlhZWItYmE3MjNjNGViM2U0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR2,0,140,209_AL_.jpg","    Manoj Joshi is an India film and television actor. Joshi began his career in Marathi theatre, also putting up performances in Gujarati and Hindi theatre. He has also acted in over 60 films since 1998, many of his roles being comedic. His earliest well known serials include Chanakya, Ek Mahal Ho ...                ","['actor', 'comedic']"
79,80.  Madhuri Dixit ,"https://m.media-amazon.com/images/M/MV5BNTk0OTFkZGItYTQxMi00YTUwLTlkMGEtMTIyZDNlNDc0MzRlXkEyXkFqcGdeQXVyMTgzNTY5OTc@._V1_UY209_CR34,0,140,209_AL_.jpg","    Madhuri Dixit is one of the most acclaimed actors and Kathak dancers Bollywood have ever witnessed. Born in a Marathi Brahmin Koknastha family to Mr. Shankar and Mrs. Snehlata, Madhuri Dixit has two sisters Rupa, Bharti, and brother Ajit. She performed decently well in her academics and aspired to ...                ",[]
80,81.  Mohnish Bahl ,"https://m.media-amazon.com/images/M/MV5BZWRlMmFiZWUtYWY3Ni00NDkwLWFlZmQtOWE2NjI2MDUzYTczXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR4,0,140,209_AL_.jpg","    Mohnish Bahl was born on February 14, 1963 in Bombay, Maharashtra, India. He is known for his work on Who Am I to You? (1994), Sanjivani: A Medical Boon (2002) and A Rebel for Love (1990). He has been married to Ekta Bahl since 1992. They have two children.                ","['known for his work', 'married']"
81,82.  Mithun Chakraborty ,"https://m.media-amazon.com/images/M/MV5BMjQwNDUxMzY4Ml5BMl5BanBnXkFtZTgwMTgxMTIzOTE@._V1_UY209_CR6,0,140,209_AL_.jpg","    Mithun Chakraborty was born on June 16, 1947 in Barisal, Bengal Presidency, British India as Gouranga Chakraborti. He is an actor, known for OMG: Oh My God! (2012), Vivekananda (1994) and Guru (2007). He has been married to Yogeeta Bali since July 1982. They have four children. He was previously ...                ","['actor', 'married']"
82,83.  Mukesh Khanna ,"https://m.media-amazon.com/images/M/MV5BMTYwNTk2MTk4MF5BMl5BanBnXkFtZTgwODQ1ODA0OTE@._V1_UY209_CR90,0,140,209_AL_.jpg","    Mukesh Khanna was born on July 19, 1958 in Bombay, State of Bombay, India. He is an actor and producer, known for Mahabharat (1988), Hera Pheri (2000) and Shaktimaan (1997).                ","['actor', 'producer']"
83,84.  Mukul Dev ,"https://m.media-amazon.com/images/M/MV5BODhjYmUzZTctNWY3Yy00ZDBmLTk0NzEtMzg3YzlhYzA0NGI2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR6,0,140,209_AL_.jpg","    Mukul Dev was born on November 30, 1970 in Delhi, India. He is an actor and writer, known for 21 Sarfarosh Saragarhi 1897 (2018), Omerta (2017) and Ssshhhh... Koi Hai (2001).                ","['actor', 'writer']"
84,85.  Madhubala ,"https://m.media-amazon.com/images/M/MV5BMTI4MTAzMzc2MV5BMl5BanBnXkFtZTcwMDkyNDAzMQ@@._V1_UY209_CR11,0,140,209_AL_.jpg","    Arguably the most beautiful artiste to ever grace the Indian screen, Madhubala rose from humble beginnings to become the most captivating star India has ever produced. Madhubala was born Mumtaz Jehan Begum on Valentine's Day 1933, in a poor, conservative family of Pathan Muslims in Delhi, a part of...                ","['beautiful', 'humble']"
85,86.  Meena Kumari ,"https://m.media-amazon.com/images/M/MV5BMTM2NjQ1Nzg2N15BMl5BanBnXkFtZTcwNDkyNjAzMQ@@._V1_UY209_CR1,0,140,209_AL_.jpg","    Born 1933 into a poor Parsee theatre family of Ali Bux and dancer Iqbal begum in Bombay, Maharashtra, India. Entered films to support family in difficult times. She was six when hired for Leatherface (1939) in 1939 by Vijay Bhatt and named Baby Meena. Later she became Meena Kumari when cast for ...                ",[]
86,87.  Mala Sinha ,"https://m.media-amazon.com/images/M/MV5BMWUyNzlkMDEtMGY4My00M2QwLWEzYjktMzk1YjliNDhiYzc5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR6,0,140,209_AL_.jpg","    Mala Sinha was born on November 11, 1936 in Calcutta, Bengal Presidency, British India as Alda Sinha. She is known for her work on Jahan Ara (1964), Himalay Ki Godmein (1965) and Pyaasa (1957).                ",['known for her work']
87,88.  Manoj Pahwa ,"https://m.media-amazon.com/images/M/MV5BMDM4MTY3YzAtYmJlMC00YjdjLTg4YzgtZTJiMzI5NzJjODg2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR4,0,140,209_AL_.jpg","    Manoj Pahwa is an actor, known for Article 15 (2019), Mulk (2018) and Being Cyrus (2005).                ",['actor']
88,89.  Manoj Kumar ,"https://m.media-amazon.com/images/M/MV5BMzUxNTM4MzQ4N15BMl5BanBnXkFtZTgwMjY1ODA0OTE@._V1_UY209_CR34,0,140,209_AL_.jpg","    Manoj Kumar was born on July 24, 1937 in Abbottabad, North-West Frontier Province, British India as Harikishen Giri Goswami. He is an actor and writer, known for Food, Clothing and Shelter (1974), Upkar (1967) and Shor (1972).                ","['actor', 'writer']"
89,90.  Nassar ,"https://m.media-amazon.com/images/M/MV5BMjA3Njc5NjcwOF5BMl5BanBnXkFtZTcwMTgyOTY0OA@@._V1_UY209_CR87,0,140,209_AL_.jpg","    Nassar is one of the most acclaimed actors in India. He is the current president of South Indian Actors Association. Nassar is well known for Thevar Magan (1992), Bombay (1995), Anbe Sivam (2003) and Nayakan (1987).Nassar was born on 5 March 1958 to Mehaboob Basha and Mumtaz in Chengalpattu, Tamil ...                ",[]
90,91.  Naseeruddin Shah ,"https://m.media-amazon.com/images/M/MV5BMTQ4MDcyOTExOV5BMl5BanBnXkFtZTgwOTQyMDU0OTE@._V1_UY209_CR12,0,140,209_AL_.jpg","    Naseeruddin Shah was born on July 20, 1950 in Barabanki, Uttar Pradesh, India. He is an actor, known for The League of Extraordinary Gentlemen (2003), A Wednesday (2008) and Jaane Bhi Do Yaaro (1983). He has been married to Ratna Pathak Shah since April 1, 1982. They have three children.                ","['actor', 'married']"
91,92.  Nandita Das ,"https://m.media-amazon.com/images/M/MV5BMTA2NzUwMTAxMDBeQTJeQWpwZ15BbWU4MDQ0MTEyNTEx._V1_UY209_CR0,0,140,209_AL_.jpg","    Nandita Das was born on November 7, 1969 in Delhi, India. She is known for her work on Firaaq (2008), Bawandar (2000) and Kannathil Muthamittal (2002). She has been married to Subodh Maskara since January 5, 2010. They have one child. She was previously married to Saumya Sen.                ","['known for her work', 'married']"
92,93.  Nagarjuna Akkineni ,"https://m.media-amazon.com/images/M/MV5BMDE5ZTgzN2QtODQzMi00NzYxLWI3ZmMtMzAxNWM0OGM1YjM0XkEyXkFqcGdeQXVyNzc4NzEwNTc@._V1_UY209_CR82,0,140,209_AL_.jpg","    Nagarjuna did his schooling at Hyderabad Public School and later went to Little Flower Junior College to do his intermediate. After that, he went on to do mechanical engineering at the University of Michigan, Ann Arbor, MI and later got a masters degree in automobile engineering at San Jose State ...                ",[]
93,94.  Nana Patekar ,"https://m.media-amazon.com/images/M/MV5BMjI4MzQyODYwOF5BMl5BanBnXkFtZTgwMTcxMTIzOTE@._V1_UY209_CR87,0,140,209_AL_.jpg","    Vishwanath Patekar (born on January 1, 1951 in Murud-Janjira, Maharashtra, India) is an actor, writer and filmmaker. He is known for his work on Ab Tak Chhappan (2004), Politics (2010) and Parinda (1989). He made his acting debut in the early 70's and since then has been nominated for multiple ...                ","['actor', 'writer', 'known for his work']"
94,95.  Nawazuddin Siddiqui ,"https://m.media-amazon.com/images/M/MV5BMTU5NTQwMTI0NV5BMl5BanBnXkFtZTcwNzQyNTgxOA@@._V1_UX140_CR0,0,140,209_AL_.jpg","    Nawazuddin Siddiqui (born 1974) also known as Nowaz is an Indian film actor who has appeared in some of Bollywood's major films including, Black Friday (2004), New York (2009), Peepli Live (2010), Kahani (2012), Gangs of Wasseypur (2012) and Gangs of Wasseypur - Part 2 (2012).Early life and ...                ",['actor']
95,96.  Nargis ,"https://m.media-amazon.com/images/M/MV5BMTY1NzE0ODkzNl5BMl5BanBnXkFtZTcwMDQ2OTAzMQ@@._V1_UY209_CR5,0,140,209_AL_.jpg","    She was born on June 1, 1929 as Fatima Rashid in Rawalpindi, British India, daughter to Jaddanbai and Uttamchand Mohanchand, a former Hindu Mohyal Brahmin who converted to Islam as Abdul Rashid. Her mother was a well-known dancer, singer, actor, composer, and director. This is what paved the way ...                ","['singer', 'actor', 'director']"
96,97.  Nirupa Roy ,"https://m.media-amazon.com/images/M/MV5BNGYxMTdjY2MtMDkzYS00ZGJlLTljZTgtYjlhZGVhYTNhMTE3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR7,0,140,209_AL_.jpg","    Kokila was born on January 4, 1931 in Valsad, Gujarat, India, in the Gujarati-speaking Balsara family.She was married to Kamal Roy at a very young age, and shortly thereafter in 1946 both husband and wife decided to make a career on the silver screen. They traveled to Bombay, both applied, but only ...                ",['married']
97,98.  Nutan ,"https://m.media-amazon.com/images/M/MV5BMTM0MDI4NDIzOV5BMl5BanBnXkFtZTcwNDY1NTAzMQ@@._V1_UY209_CR7,0,140,209_AL_.jpg","    Nutan Samarth was born on June 4 1936 to poet Kumarsen Samarth and his actress wife 'Shobhana' as the eldest of their four children (a younger sister is the actress Tanuja). Her parents separated when she was a small child. 13-year-old Nutan made her debut in K. Asif's ""Hamari Beti"". She was a ...                ",['actress']
98,99.  Neeraj Kabi ,"https://m.media-amazon.com/images/M/MV5BZTJlZWZiMmUtNTQ0MS00NzliLWI3YjAtNzhiNjVhNWQ2MDExXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR1,0,140,209_AL_.jpg","    Neeraj is a multiple award winning film and theater actor, best known for his powerful performances in Ship of Theseus and Talvar. He won the Best Actor Awards at the Sakhalin International Film Festival in 2014 and the NBC Newsmakers Achievers' Awards in 2015. Neeraj is the owner of the renowned ...                ","['actor', 'powerful performances']"
99,100.  Navin Nischol ,"https://m.media-amazon.com/images/M/MV5BNzY5NWIxMDItMzZkNi00YzNiLTkyMWQtZDJlNzEwODA2MDNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR5,0,140,209_AL_.jpg","    Navin Nischol was born on March 18, 1946 in Lahore, Punjab, British India. He was an actor, known for Zorro (1975), Khosla's Nest (2006) and Dhund (1973). He was married to Geetanjali Nischol. He died on March 19, 2011 in Mumbai, Maharashtra, India.                ","['actor', 'married']"
